Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label
3127,"Wed, 8 May 2019 16:40:59 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,14,55,0,0,23,52038,1
3128,"Mon, 5 Jun 2017 04:21:55 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,7,56,0,1,50,53058,1
3129,"Fri, 28 Oct 2016 02:02:57 +0530",iiitd,ac.in,2,0,multipart/alternative,0,8,1,0,62,15319,0
3130,"Wed, 29 May 2019 20:46:13 +0000",kaggle,intercom-mail.com,0,0,multipart/alternative,2,9,0,1,51,14413,1
3131,"Mon, 22 Oct 2018 20:58:53 +0000",kaggle,intercom-mail.com,0,0,multipart/alternative,16,53,1,1,36,49919,1
3132,"Mon, 27 Aug 2018 17:27:31 +0530",airvistara,com,0,0,multipart/alternative,11,38,0,0,33,9601,1
3133,"Thu, 5 Oct 2017 04:28:18 +0000",amazon,in,0,0,multipart/alternative,10,124,0,0,27,64471,1
3134,"Sat, 10 Sep 2016 20:41:51 +0530",iiitd,ac.in,0,0,multipart/alternative,9,32,1,0,20,32844,0
3135,"Fri, 25 Nov 2016 09:24:10 +0530",iiitd,ac.in,0,0,multipart/alternative,1,1,1,0,40,3255,0
3136,"Wed, 25 Jan 2017 03:17:44 +0530",iiitd,ac.in,1,0,multipart/alternative,0,1,1,0,25,2211,0
3137,"Sun, 06 Jul 2014 18:31:11 +0000",twitter,com,0,0,multipart/alternative,41,287,1,0,61,94836,1
3138,"Mon, 21 Jan 2019 15:45:01 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,0,0,49,7636,0
3139,"Sun, 13 Aug 2017 09:25:18 +0200",reply,ebay.in,0,0,multipart/alternative,20,79,0,0,109,55584,1
3140,"Sat, 16 Mar 2019 14:33:14 +0530",thomascook,in,0,0,multipart/alternative,14,43,0,0,65,17080,1
3141,"Tue, 12 Jan 2016 14:24:01 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,31,1087,0
3142,"Thu, 12 Oct 2017 15:49:15 +0530",iiitd,ac.in,0,0,multipart/alternative,0,15,1,1,43,44295,0
3143,"Wed, 28 Mar 2018 03:59:37 -0600",emails,evernote.com,0,0,multipart/alternative,10,63,1,0,19,28524,1
3144,"Fri, 5 May 2017 13:45:27 +0530",iiitd,ac.in,0,0,multipart/alternative,0,27,1,1,49,31993,0
3145,"Thu, 22 Mar 2018 15:49:07 +0530",newsletter,speakingtree.in,0,0,multipart/alternative,12,48,0,0,63,22440,1
3146,"Tue, 21 Jul 2015 13:28:40 +0000 (UTC)",quora,com,0,0,multipart/alternative,1,89,1,1,43,85367,1
3147,"Thu, 11 Oct 2018 08:11:36 +0000 (UTC)",researchgatemail,net,0,0,multipart/alternative,3,25,0,0,38,15786,1
3148,"Mon, 26 Jan 2015 02:53:27 -0800 (PST)",plus,google.com,0,0,multipart/alternative,14,43,0,0,35,15087,1
3149,"Sat, 22 Jul 2017 19:50:48 +0530",pvrcinemas,com,0,0,multipart/alternative,1,8,0,0,76,1928,1
3150,"Tue, 29 Mar 2016 10:34:42 +0000 (GMT)",ndtvecommerce,com,0,0,multipart/alternative,16,76,1,0,72,26089,1
3151,"Fri, 31 Mar 2017 04:01:10 -0600",news,foodpanda.in,0,0,multipart/alternative,13,44,0,0,50,49909,1
3152,"Thu, 4 May 2017 02:06:30 +0000",mail,goodreads.com,0,0,multipart/mixed,0,0,0,0,14,4,1
3153,"Wed, 26 Jul 2017 00:46:11 +0000 (UTC)",flipkartletters,com,0,0,text/html,32,77,1,0,55,57298,1
3154,"Thu, 4 Aug 2016 14:37:06 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,0,0,43,21695,0
3155,"Sat, 2 Dec 2017 00:00:12 +0530",iiitd,ac.in,2,0,multipart/alternative,0,3,1,0,26,2243,0
3156,"Wed, 25 May 2016 15:31:38 +0000",youtube,com,0,0,multipart/alternative,16,65,0,0,86,53618,1
3157,"Mon, 30 Jan 2017 05:39:02 -0000",crm,sdconnect.in,0,0,multipart/alternative,26,124,1,0,48,26446,1
3158,"Fri, 16 Sep 2016 15:24:25 +0530",iiitd,ac.in,7,0,multipart/alternative,1,1,1,0,31,3833,0
3159,12 Aug 2016 16:18:39 +0530,statebankrewardz,com,0,0,text/html,4,18,0,0,58,10308,1
3160,"Tue, 23 Jan 2018 01:09:27 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,63,4,1
3161,"Thu, 11 Feb 2016 16:25:39 +0000",stylusstudio,com,0,0,multipart/alternative,4,34,0,0,20,38642,1
3162,"Wed, 24 Jan 2018 05:03:01 +0000",m,mail.coursera.org,0,0,multipart/alternative,16,69,0,0,139,46224,1
3163,"Sat, 1 Oct 2016 13:48:54 +0530",iiitd,ac.in,0,0,multipart/alternative,0,49,0,0,25,36415,0
3164,"Tue, 29 Mar 2016 21:35:35 -0600",email,skype.com,0,0,multipart/alternative,16,84,0,0,53,34075,1
3165,"Sat, 12 Aug 2017 06:50:54 +0000",htc,com,0,0,multipart/alternative,10,52,1,0,83,74917,1
3166,"Wed, 14 Oct 2015 20:12:08 +0530",iiitd,ac.in,3,0,multipart/alternative,2,22,1,0,19,12542,0
3167,"Mon, 26 Sep 2016 10:47:46 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,16,79,0,0,48,63485,1
3168,"Sun, 24 Jul 2016 13:49:37 +0000 (GMT)",ndtvecommerce,com,0,0,multipart/alternative,20,109,1,0,73,35179,1
3169,"Tue, 24 Jan 2017 14:29:15 +0530",iiitd,ac.in,1,0,multipart/mixed,0,0,1,0,79,381113,0
3170,"Thu, 1 Sep 2016 11:13:09 +0530",iiitd,ac.in,4,0,multipart/alternative,0,1,1,0,41,9870,0
3171,"Thu, 10 Mar 2016 18:56:34 +0530",iiitd,ac.in,1,0,multipart/alternative,0,7,1,1,36,5781,0
3172,"Sat, 12 Aug 2017 15:26:52 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,52,1,0,60,79741,1
3173,"Mon, 13 Jun 2016 10:13:05 +0530",iiitd,ac.in,7,0,multipart/alternative,1,1,1,0,142,12754,0
3174,"Fri, 3 Oct 2014 00:54:58 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,3,29,0,0,52,27710,1
3175,"Sat, 9 Feb 2019 06:57:57 +0000",primevideo,com,0,0,multipart/alternative,38,180,1,0,42,99650,1
3176,"Mon, 2 May 2016 10:53:10 +0530",iiitd,ac.in,0,0,multipart/alternative,0,6,1,0,64,7486,0
3177,"Tue, 23 Aug 2016 10:01:36 +0530",iiitd,ac.in,1,0,multipart/alternative,0,3,1,0,41,2466,0
3178,"Tue, 12 Jul 2016 04:08:11 -0500 (CDT)",amazon,com,0,0,multipart/alternative,11,54,1,0,63,50921,1
3179,"Tue, 10 Feb 2015 22:29:34 +0000",youtube,com,0,0,multipart/alternative,12,50,1,0,102,39313,1
3180,"Mon, 13 Aug 2018 13:19:18 +0000 (UTC)",udacity,com,0,0,text/html,11,46,0,1,52,51552,1
3181,"Thu, 3 Aug 2017 13:16:56 +0200 (CEST)",entertainment,bookmyshow.com,0,0,text/html,49,115,0,0,41,85410,1
3182,"Sat, 9 Jan 2016 14:48:25 +0530",iiitd,ac.in,11,0,text/plain,0,0,1,0,17,2605,0
3183,"Sat, 24 Jun 2017 15:16:20 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,29,22567,1
3184,"Wed, 16 Aug 2017 00:42:58 +0000",amazon,in,0,0,multipart/alternative,14,140,0,0,43,74910,1
3185,"Fri, 22 Apr 2016 13:37:11 +0530",iiitd,ac.in,4,0,multipart/alternative,0,5,0,0,50,8938,0
3186,"Tue, 28 Aug 2018 04:45:14 +0000 (UTC)",freshworks,com,0,0,multipart/alternative,0,4,1,0,52,8234,1
3187,"Thu, 12 Jan 2017 11:07:59 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,25,525,0
3188,"Sat, 12 Nov 2016 10:27:11 +0530",iiitd,ac.in,3,0,multipart/alternative,0,3,1,0,22,27657,0
3189,"Mon, 06 Jun 2016 15:06:56 -0400",emm,ibmmail.com,0,0,text/html,0,26,0,0,32,16397,1
3190,"Fri, 27 Oct 2017 13:58:52 +0530 (IST)",sampark,gov.in,0,0,text/html,16,33,0,0,39,11318,1
3191,"Wed, 24 Aug 2016 09:13:59 +0000",twitter,com,0,0,multipart/alternative,30,174,0,0,77,100466,1
3192,17 Sep 2017 04:14:38 +0530,,,0,0,multipart/mixed,1,1,0,0,77,173,1
3193,"Wed, 19 Jul 2017 04:14:23 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,36,0,0,29,24456,1
3194,"Thu, 17 Nov 2016 10:31:02 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,30,15747,0
3195,"Thu, 12 May 2016 13:35:08 +0530",iiitd,ac.in,0,0,multipart/alternative,2,2,1,0,26,7927,0
3196,"Thu, 11 May 2017 15:41:21 +0000",twitter,com,0,0,multipart/alternative,8,66,0,0,53,39927,1
3197,"Thu, 11 Feb 2016 22:30:30 +0800",crazydomains,in,0,0,text/html,5,21,0,0,49,22303,1
3198,"Mon, 10 Dec 2018 13:54:39 +0000",centralesupelec,fr,0,0,multipart/mixed,0,12,1,0,117,4447447,0
3199,"Mon, 11 Mar 2019 04:22:30 +0000",mail,paypal.com,0,0,multipart/alternative,5,49,1,0,42,36450,1
3200,"Sat,  3 Sep 2016 21:45:02 +0530 (IST)",sampark,gov.in,0,0,text/html,13,29,0,0,78,11177,1
3201,"Fri, 27 May 2016 05:02:29 -0700",email,udacity.com,0,0,text/html,15,63,0,1,46,62844,1
3202,"Thu, 31 Aug 2017 19:12:07 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,28,1185,0
3203,"Tue, 12 Jan 2016 11:06:13 +0530",iiitd,ac.in,3,0,multipart/related,0,0,0,0,27,1863256,0
3204,"Sun, 22 Nov 2015 14:26:21 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,36,27417,1
3205,"Mon, 6 Mar 2017 16:43:45 +0530",iiitd,ac.in,0,0,multipart/alternative,0,17,1,0,32,11216,0
3206,"Thu, 20 Oct 2016 08:06:23 +0530",iiitd,ac.in,1,0,multipart/mixed,2,7,1,0,42,2768438,0
3207,"Wed, 14 Dec 2016 17:03:43 +0530",iiitd,ac.in,3,0,multipart/mixed,0,0,0,0,60,49935,0
3208,"Wed, 25 Apr 2018 18:16:36 +0530",bigbasket,in,0,0,text/html,5,16,0,0,78,7572,1
3209,"Sun, 15 Jul 2018 12:08:38 +0530",marketing,goindigo.in,0,0,multipart/alternative,9,54,0,0,103,42320,1
3210,"Mon, 21 Aug 2017 18:40:52 +0530",iiitd,ac.in,3,0,multipart/mixed,0,0,0,0,73,1689859,0
3211,"Thu, 24 Mar 2016 01:33:10 -0700 (PDT)",quora,com,0,0,multipart/alternative,6,95,0,0,112,81658,1
3212,"Wed, 4 Jul 2018 06:59:15 +0000",redwolf,in,0,0,multipart/alternative,5,22,0,0,66,6234,1
3213,"Fri, 21 Jun 2019 12:53:10 +0530",thomascook,in,0,0,multipart/alternative,18,46,0,0,69,15299,1
3214,"Wed, 16 Mar 2016 01:50:58 +0000",flipkartletters,com,0,0,text/html,19,83,1,0,43,42112,1
3215,"Mon, 4 Mar 2019 07:51:22 +0000",amazon,in,0,0,multipart/alternative,30,254,1,0,11,114636,1
3216,"Tue, 02 Aug 2016 16:54:29 +0530",emailer,cardekho.com,0,0,text/html,40,98,0,0,60,65066,1
3217,"Fri, 30 Nov 2018 00:17:32 +0000",amazon,in,0,0,multipart/alternative,30,257,0,0,15,117078,1
3218,"Thu, 17 Aug 2017 14:00:50 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,118,0,0,104,103097,1
3219,"Wed, 19 Apr 2017 01:07:30 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,14,114,1,0,66,91505,1
3220,"Wed, 28 Oct 2015 11:45:20 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,22,614,0
3221,"Thu, 11 Feb 2016 08:50:31 +0000",twitter,com,0,0,multipart/alternative,16,125,0,0,98,73292,1
3222,"Tue, 12 Dec 2017 08:04:25 +0530 (IST)",indiatimes,com,0,0,text/html,11,106,1,1,59,48183,1
3223,"Thu, 15 Mar 2018 18:05:55 +0000 (UTC)",angel,co,0,0,text/html,1,33,1,1,64,33667,1
3224,"Sat, 19 Aug 2017 10:41:35 +0000",htc,com,0,0,multipart/alternative,11,56,0,0,165,81547,1
3225,"Tue, 25 Sep 2018 14:08:50 +0000 (UTC)",udacity,com,0,0,text/html,11,38,1,1,76,46214,1
3226,"Mon, 14 Aug 2017 16:06:01 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,0,51,11430,0
3227,"Wed, 14 Sep 2016 14:33:03 +0000",udacity,com,0,0,multipart/alternative,10,46,0,0,120,49086,1
3228,"Fri, 26 Feb 2016 17:39:00 -0600 (CST)",topcoder,com,0,0,multipart/alternative,9,42,0,0,52,20793,1
3229,"Fri, 15 Jul 2016 21:31:37 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,24,303,0
3230,"Mon, 8 Aug 2016 18:48:15 +0530",iiitd,ac.in,3,0,multipart/related,0,0,0,0,68,109751,0
3231,"Fri, 12 Feb 2016 15:00:56 +0530",iiitd,ac.in,0,0,multipart/related,0,10,1,0,75,8369846,0
3232,"Sat, 13 May 2017 00:10:36 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,46,4,1
3233,"Mon, 22 Feb 2016 08:05:25 -0000",crm,sdconnect.in,0,0,multipart/alternative,25,119,0,0,91,21211,1
3234,"Mon, 24 Jul 2017 01:23:19 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,36,0,0,29,24686,1
3235,"Wed, 01 Jun 2016 04:44:31 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,103,1,0,106,85198,1
3236,"Fri, 11 Mar 2016 02:19:10 +0530",iiitd,ac.in,0,0,multipart/mixed,16,7,1,0,28,36903115,0
3237,"Wed, 29 Apr 2015 12:00:01 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,22,1,0,44,34652,1
3238,"Tue, 5 Dec 2017 17:09:04 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,45,743,0
3239,"Tue, 18 Jul 2017 14:31:53 +0000 (UTC)",hackerearth,com,0,0,multipart/alternative,3,12,0,0,174,10196,1
3240,"Sun, 5 Jun 2016 17:13:50 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,24,1538,0
3241,"Mon, 20 Apr 2015 15:06:57 +0000",twitter,com,0,0,multipart/alternative,11,157,0,0,144,91766,1
3242,"Wed, 11 Oct 2017 23:30:26 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,26,1672,0
3243,"Sun, 30 Aug 2015 23:40:56 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,18,1169,0
3244,"Fri, 1 Apr 2016 11:40:52 +0530",iiitd,ac.in,7,0,multipart/mixed,0,0,0,0,82,32889,0
3245,"Sun, 17 Dec 2017 08:24:00 +0100",reply,ebay.in,0,0,multipart/alternative,21,80,0,0,53,54203,1
3246,"Wed, 21 Feb 2018 12:10:03 +0530",iiitd,ac.in,0,0,text/plain,0,3,1,1,175,4165,0
3247,"Tue, 05 Jun 2018 21:00:00 -0700",mentor,com,0,0,multipart/alternative,2,27,1,0,61,27725,1
3248,"Tue, 25 Jun 2019 18:42:26 +0000",medium,com,0,0,multipart/alternative,8,46,1,1,44,34628,1
3249,"Mon, 23 May 2016 21:57:13 +0000 (UTC)",quora,com,0,0,multipart/alternative,8,26,0,0,192,16207,1
3250,"Sat, 3 Sep 2016 05:30:32 -0000",shop,sdconnect.in,0,0,multipart/alternative,24,121,0,0,36,24199,1
3251,"Thu, 27 Sep 2018 13:42:39 +0000 (UTC)",udacity,com,0,0,text/html,11,38,0,1,49,46560,1
3252,"Tue, 11 Jul 2017 10:38:01 +0000 (UTC)",hackerearth,com,0,0,multipart/alternative,6,21,1,0,34,15470,1
3253,"Thu, 20 Sep 2018 04:36:57 +0000",amazon,in,0,0,multipart/alternative,8,71,0,0,61,31338,1
3254,"Wed, 2 Mar 2016 11:27:35 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,1,53,4886,0
3255,"Mon, 11 Dec 2017 19:32:58 +0530 (IST)",sampark,gov.in,0,0,text/html,36,92,0,0,39,61841,1
3256,"Thu, 15 Oct 2015 16:08:45 +0530",iiitd,ac.in,5,0,multipart/alternative,1,3,1,0,33,2968,0
3257,"Sun, 21 Aug 2016 20:33:08 +0530",nptel,iitm.ac.in,0,0,multipart/alternative,0,6,1,0,48,2750,0
3258,"Wed, 28 Mar 2018 23:53:56 +0000",discuss,pytorch.org,0,0,multipart/alternative,53,101,0,0,24,63207,1
3259,"Wed, 14 Jun 2017 17:12:28 +0000",udacity,com,0,0,multipart/alternative,11,44,0,0,118,56209,1
3260,"Thu, 4 May 2017 07:04:27 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,0,33,4313,0
3261,"Sat, 27 May 2017 14:53:14 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,14,774,0
3262,"Mon, 04 Jan 2016 15:38:33 +0000",iiitd,ac.in,0,0,multipart/alternative,2,8,0,0,56,4937,0
3263,"Fri, 16 Jun 2017 05:36:58 +0000",innerchef,com,0,0,multipart/alternative,8,46,0,0,65,51348,1
3264,08 Oct 2017 21:05:21 +0530,,,0,0,multipart/mixed,1,1,0,0,57,152,1
3265,"Thu,  2 May 2019 12:05:45 +0000",signalprocessingsociety,org,0,0,multipart/alternative,9,59,0,1,93,87844,1
3266,"Thu, 20 Oct 2016 16:56:36 +0000",youtube,com,0,0,multipart/alternative,19,71,1,1,63,61967,1
3267,"Fri, 17 Jun 2016 09:19:12 +0530 (IST)",cardekholetters,org,0,0,multipart/mixed,0,0,0,0,35,4,1
3268,"Fri, 14 Aug 2015 16:35:00 +0530",iiitd,ac.in,2,0,multipart/alternative,0,4,1,0,44,9233,0
3269,"Tue, 27 Jun 2017 11:41:13 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,14,41,0,0,31,37476,1
3270,"Fri, 13 Apr 2018 17:55:04 +0000",duolingo,com,0,0,multipart/alternative,13,28,0,0,45,21801,1
3271,"Wed, 7 Oct 2015 21:16:41 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,26,2931,0
3272,"Sat, 20 Dec 2014 17:59:59 -0800",facebookmail,com,0,0,multipart/alternative,1,35,0,0,68,17905,1
3273,"Mon, 30 Oct 2017 00:47:18 -0700",youtube,com,0,0,multipart/alternative,38,125,0,0,87,80241,1
3274,"Thu, 26 Nov 2015 12:20:02 +0530",iiitd,ac.in,6,0,multipart/mixed,0,0,0,0,41,1053336,0
3275,"Sun, 29 Oct 2017 14:18:24 -0400 (EDT)",edx,org,0,0,multipart/alternative,11,39,0,0,34,26098,1
3276,"Wed, 15 Aug 2018 13:14:36 +0000",academia-mail,com,0,0,multipart/alternative,1,13,0,0,34,33058,1
3277,"Wed, 16 May 2018 12:30:09 -0500 (CDT)",getpostman,com,0,0,multipart/alternative,3,17,0,1,35,81169,1
3278,"Sun, 1 Apr 2018 12:47:25 +0000",primevideo,com,0,0,multipart/alternative,71,226,1,0,42,103324,1
3279,"Wed, 4 Mar 2015 07:57:33 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,12,39,1,0,46,62047,1
3280,"Mon, 8 Aug 2016 08:39:17 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,12,75,0,0,48,56404,1
3281,"Wed, 3 Aug 2016 01:09:11 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,41,1,0,63,41279,1
3282,"Thu, 13 Jun 2019 12:04:20 +0000",signalprocessingsociety,org,0,0,multipart/alternative,10,60,0,0,133,86802,1
3283,"Fri, 24 Feb 2017 16:10:42 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,127,684,0
3284,"Sat, 9 Jan 2016 09:45:15 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,0,0,12,137,0
3285,"Tue, 31 Oct 2017 11:07:45 +0530",iiitd,ac.in,0,0,multipart/alternative,0,28,1,1,67,13894,0
3286,"Thu, 25 Jan 2018 21:52:12 +0530",statebankrewardz,com,0,0,text/html,4,23,0,0,43,9761,1
3287,"Mon, 13 Nov 2017 09:42:10 -0600",send,grammarly.com,0,0,multipart/alternative,35,115,0,0,27,156547,1
3288,"Tue, 5 Jul 2016 17:23:34 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,45,20476,1
3289,"Thu, 30 Nov 2017 15:16:42 +0530",iiitd,ac.in,4,0,multipart/alternative,0,3,1,0,0,1778,0
3290,"Fri, 2 Nov 2018 20:40:35 +0530",statebankrewardz,com,0,0,text/html,3,17,0,0,23,7594,1
3291,"Thu, 25 Jan 2018 13:26:32 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,45,0,0,28,56906,1
3292,"Mon, 4 Jul 2016 22:45:16 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,30,5727,0
3293,"Tue, 30 May 2017 00:12:59 +0000",amazon,in,0,0,multipart/alternative,7,148,0,0,53,74573,1
3294,"Tue, 21 Jun 2016 07:29:34 +0530",iiitd,ac.in,2,0,multipart/alternative,0,2,1,0,40,5799,0
3295,"Mon, 21 Jan 2019 16:40:42 +0530",iiitd,ac.in,2,0,multipart/alternative,0,5,1,0,43,7862,0
3296,"Sun, 09 Apr 2017 03:43:22 +0000",flipkartletters,com,0,0,text/html,42,102,1,0,27,79355,1
3297,"Tue, 6 Dec 2016 13:29:06 +0530",iiitd,ac.in,3,0,multipart/alternative,0,1,0,0,15,2541,0
3298,"Fri, 28 Apr 2017 18:38:02 +0000",codeschool,com,0,0,multipart/alternative,18,52,0,0,51,53577,1
3299,"Sat, 9 Dec 2017 05:50:08 +0000",topcoder,com,0,0,multipart/alternative,42,143,1,0,42,119920,1
3300,"Sat, 26 Sep 2015 10:02:33 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27069,1
3301,"Sun, 14 May 2017 12:40:24 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,38,4,1
3302,"Wed, 20 Jul 2016 16:29:15 +0530",iiitd,ac.in,0,0,multipart/alternative,2,2,1,0,66,11407,0
3303,"Wed, 2 Dec 2015 10:18:23 +0530",iiitd,ac.in,2,0,multipart/alternative,0,6,1,0,94,8083,0
3304,"Thu, 09 Aug 2018 05:01:44 +0000",m,mail.coursera.org,0,0,multipart/alternative,21,124,1,0,76,85236,1
3305,"Thu, 09 Aug 2018 14:21:52 +0000 (UTC)",udacity,com,0,0,text/html,0,24,0,0,66,52032,1
3306,"Thu, 22 Sep 2016 02:40:03 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,17,71,0,1,147,79221,1
3307,"Wed, 28 Dec 2016 14:51:18 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,38,1706,0
3308,"Tue, 02 Dec 2014 16:58:04 +0000",youtube,com,0,0,multipart/alternative,17,61,0,0,90,45998,1
3309,"Mon, 6 Jun 2016 10:05:49 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,0,0,48,5248,0
3310,"Sat, 25 Mar 2017 03:39:34 +0530",statebankrewardz,com,0,0,text/html,4,19,0,0,50,7963,1
3311,"Fri, 18 Jul 2014 14:27:29 +0000 (UTC)",invite,quoramail.com,0,0,multipart/alternative,0,15,1,0,43,5501,1
3312,"Wed, 27 Apr 2016 00:05:53 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,39,4,1
3313,"Mon, 7 Nov 2016 11:38:23 +0530",iiitd,ac.in,0,0,multipart/alternative,1,1,1,0,78,3643,0
3314,"Sat, 07 Feb 2015 18:28:41 +0000",twitter,com,0,0,multipart/alternative,7,69,0,0,57,31662,1
3315,"Sat, 29 Sep 2018 09:29:08 +0000",redwolf,in,0,0,multipart/alternative,5,22,0,0,31,4914,1
3316,"Mon, 05 Sep 2016 09:15:34 +0000",twitter,com,0,0,multipart/alternative,7,52,0,0,66,41009,1
3317,"Thu, 20 Sep 2018 10:58:13 +0200",unisys,com,0,0,multipart/alternative,1,11,0,0,75,10503,1
3318,"Sun, 10 Apr 2016 08:40:47 +0000",twitter,com,0,0,multipart/alternative,18,131,0,0,139,73399,1
3319,"Sun, 27 Mar 2016 03:18:25 +0530",iiitd,ac.in,8,0,multipart/alternative,1,9,1,0,55,4376,0
3320,"Thu, 25 May 2017 13:11:28 -0400",iiitd,ac.in,1,0,multipart/mixed,0,0,0,0,61,192248,0
3321,"Sun, 8 Jan 2017 19:11:36 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,25,343,0
3322,"Thu, 27 Jul 2017 18:32:22 +0530",iiitd,ac.in,3,0,multipart/alternative,0,3,1,0,69,44026,0
3323,"Thu, 2 Nov 2017 21:41:38 +0530",iiitd,ac.in,2,0,multipart/alternative,0,11,1,0,34,3442,0
3324,"Fri, 1 Dec 2017 10:47:02 +0100",reply,ebay.in,0,0,multipart/alternative,34,127,0,0,56,83403,1
3325,"Sat, 15 Aug 2015 18:51:00 +0000",youtube,com,0,0,multipart/alternative,16,67,0,0,93,50952,1
3326,"Thu, 17 Mar 2016 11:57:14 +0530",iiitd,ac.in,2,0,multipart/alternative,0,2,1,0,67,2929,0
3327,"Sun, 1 Oct 2017 14:09:30 -0400 (EDT)",edx,org,0,0,multipart/alternative,11,32,1,1,60,30913,1
3328,"Wed, 03 Aug 2016 08:32:12 +0000",twitter,com,0,0,multipart/alternative,8,54,0,0,62,41090,1
3329,"Tue, 27 Feb 2018 14:39:23 +0000 (UTC)",udacity,com,0,0,multipart/alternative,16,47,1,0,62,66357,1
3330,"Fri, 20 Mar 2015 05:00:45 -0000",pinterest,com,0,0,multipart/alternative,15,66,0,0,29,42707,1
3331,"Mon, 11 Apr 2016 02:47:47 +0000",youtube,com,0,0,multipart/alternative,9,44,1,0,79,39211,1
3332,"Tue, 23 Feb 2016 09:14:39 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,49,11999,0
3333,"Thu, 21 Sep 2017 01:47:56 +0000 (UTC)",flipkartletters,com,0,0,text/html,38,89,1,0,72,62691,1
3334,"Mon, 20 Feb 2017 10:43:52 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,20,610,0
3335,"Sun, 10 Jun 2018 01:30:34 +0000",amazon,in,0,0,multipart/alternative,11,81,0,0,31,36893,1
3336,"Sat, 30 Jun 2018 05:54:42 +0000",redwolf,in,0,0,multipart/alternative,16,43,0,0,47,8849,1
3337,"Wed, 09 Sep 2015 06:46:44 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,36,27356,1
3338,"Thu, 28 Apr 2016 20:26:51 +0000",mail,goodreads.com,0,0,multipart/mixed,0,0,0,0,16,4,1
3339,"Tue, 2 Feb 2016 15:47:47 +0530",iiitd,ac.in,0,0,multipart/alternative,0,7,1,1,24,4332,0
3340,"Fri, 12 May 2017 06:52:58 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,3,24,0,0,29,21333,1
3341,"Fri, 12 May 2017 17:59:11 +0530",iiitd,ac.in,2,0,multipart/alternative,1,1,0,0,56,1654,0
3342,"Fri, 21 Sep 2018 08:06:56 +0530 (IST)",indiatimes,com,0,0,text/html,11,167,0,0,60,96407,1
3343,"Wed, 25 Jul 2018 00:06:05 +0000",amazon,in,0,0,multipart/alternative,20,126,0,0,49,60500,1
